County,2017 Population,Net Domestic Migration,Domestic Migration Rate,Net International Migration,International Migration Rate,Natural Change
"Cobb County, GA","755,754","-2,963",-3.9,"3,227",4.3,"5,016"
"Cochise County, AZ","124,756","-1,039",-8.3,231,1.8,206
"Cocke County, TN","35,556",499,14.1,-2,-0.1,-102
"Coconino County, AZ","140,776",-241,-1.7,212,1.5,727
"Codington County, SD","28,099",-82,-2.9,11,0.4,139
"Coffee County, AL","51,874",483,9.4,50,1,126
"Coffee County, GA","43,014",-198,-4.6,44,1,152
"Coffee County, TN","55,034",574,10.5,-15,-0.3,47
"Colbert County, AL","54,500",238,4.4,3,0.1,-66
"Cole County, MO","76,708",-390,-5.1,97,1.3,225
"Coles County, IL","51,979",-526,-10.1,59,1.1,31
"Colfax County, NE","10,585",-314,-29.6,117,11,123
"Colfax County, NM","12,174",-62,-5.1,8,0.7,-31
"Colleton County, SC","37,611",132,3.5,-4,-0.1,-116
"Collier County, FL","372,880","4,395",11.9,"2,665",7.2,-279
"Collin County, TX","969,603","15,342",16,"5,163",5.4,"6,629"
"Colonial Heights city, VA","17,830",29,1.6,51,2.9,110
"Colorado County, TX","21,232",149,7.1,60,2.8,-3
"Colquitt County, GA","45,835",-95,-2.1,82,1.8,178
"Columbia County, AR","23,627",-392,-16.5,41,1.7,-7
"Columbia County, FL","69,612",302,4.3,42,0.6,-2
"Columbia County, GA","151,579","3,100",20.7,154,1,872
"Columbia County, NY","60,604",-367,-6,111,1.8,-148
"Columbia County, OR","51,782",797,15.5,17,0.3,80
"Columbia County, PA","65,932",-113,-1.7,33,0.5,-138
"Columbia County, WI","57,248",229,4,27,0.5,100
"Columbiana County, OH","103,077",-528,-5.1,-7,-0.1,-130
"Columbus County, NC","55,936",-286,-5.1,22,0.4,-133
"Colusa County, CA","21,805",-41,-1.9,16,0.7,186
"Comal County, TX","141,009","6,203",45.1,127,0.9,507
"Comanche County, OK","121,526",-683,-5.6,180,1.5,635
"Comanche County, TX","13,573",49,3.6,14,1,-8
"Concordia Parish, LA","19,866",-140,-7,0,0,11
"Conecuh County, AL","12,469",-28,-2.2,2,0.2,-18
"Contra Costa County, CA","1,147,439",-214,-0.2,"4,776",4.2,"4,281"
"Converse County, WY","13,809",-407,-29.1,14,1,72
"Conway County, AR","20,916",-5,-0.2,-1,0,27
"Cook County, GA","17,277",53,3.1,4,0.2,33
"Cook County, IL","5,211,263","-65,871",-12.6,"20,511",3.9,"25,168"
"Cooke County, TX","39,895",444,11.2,46,1.2,162
"Cooper County, MO","17,644",-47,-2.7,11,0.6,-4
"Coos County, NH","31,634",-122,-3.8,2,0.1,-167
"Coos County, OR","63,888",724,11.4,41,0.6,-253
"Coosa County, AL","10,754",-28,-2.6,3,0.3,-28
"Copiah County, MS","28,516",-140,-4.9,31,1.1,21
"Cortland County, NY","47,786",-211,-4.4,26,0.5,38
"Coryell County, TX","74,913",-706,-9.4,157,2.1,519
"Coshocton County, OH","36,544",-205,-5.6,12,0.3,93
"Cottonwood County, MN","11,295",-118,-10.4,11,1,5
"Covington County, AL","37,092",-222,-6,-3,-0.1,-68
"Covington County, MS","19,079",-139,-7.3,9,0.5,20
"Coweta County, GA","143,114","1,874",13.2,186,1.3,578
"Cowley County, KS","35,361",-343,-9.7,59,1.7,22
"Cowlitz County, WA","106,910","1,938",18.3,62,0.6,149
"Craig County, OK","14,327",-63,-4.4,6,0.4,-75
"Craighead County, AR","107,115",585,5.5,167,1.6,587
"Craven County, NC","102,578",-789,-7.7,150,1.5,363
"Crawford County, AR","62,996",514,8.2,79,1.3,147
"Crawford County, GA","12,295",38,3.1,17,1.4,-52
"Crawford County, IA","17,056",-109,-6.4,40,2.3,90
"Crawford County, IL","18,961",-147,-7.7,4,0.2,-37
"Crawford County, IN","10,566",-12,-1.1,-1,-0.1,-2
"Crawford County, KS","39,034",-203,-5.2,123,3.2,123
"Crawford County, MI","13,907",208,15,8,0.6,-49
"Crawford County, MO","24,102",-85,-3.5,-4,-0.2,-41
"Crawford County, OH","41,746",-275,-6.6,8,0.2,-24
"Crawford County, PA","86,159",-350,-4.1,32,0.4,-26
"Crawford County, WI","16,214",-66,-4.1,8,0.5,-8
"Creek County, OK","71,704",676,9.5,56,0.8,-63
"Crenshaw County, AL","13,871",-16,-1.2,0,0,-20
"Crisp County, GA","22,736",-248,-10.9,17,0.7,33
"Crittenden County, AR","48,750",-876,-17.9,-1,0,306
"Crockett County, TN","14,473",22,1.5,6,0.4,-21
"Crook County, OR","23,123",782,34.4,3,0.1,-8
"Cross County, AR","16,863",-186,-11,0,0,12
"Crow Wing County, MN","64,424",576,9,42,0.7,38
"Cullman County, AL","82,755",427,5.2,30,0.4,-23
"Culpeper County, VA","51,282",613,12.1,69,1.4,265
"Cumberland County, IL","10,908",-18,-1.7,11,1,23
"Cumberland County, ME","292,500",643,2.2,836,2.9,124
"Cumberland County, NC","332,546","-4,530",-13.6,758,2.3,"2,772"
"Cumberland County, NJ","152,538","-2,416",-15.8,535,3.5,494
"Cumberland County, PA","250,066","1,117",4.5,694,2.8,364
"Cumberland County, TN","59,078",767,13,36,0.6,-259
"Currituck County, NC","26,331",621,23.9,2,0.1,42
"Curry County, NM","49,812",-955,-19.1,82,1.6,516
"Curry County, OR","22,669",288,12.7,-26,-1.1,-181
"Custer County, MT","11,721",-111,-9.4,-1,-0.1,13
"Custer County, NE","10,897",43,4,0,0,19
"Custer County, OK","28,800",-456,-15.8,70,2.4,139
"Cuyahoga County, OH","1,248,514","-10,087",-8.1,"3,961",3.2,"1,198"
"Dade County, GA","16,285",59,3.6,-6,-0.4,-8
"Dakota County, MN","421,751",956,2.3,753,1.8,"2,644"
"Dakota County, NE","20,186",-463,-22.8,49,2.4,198
"Dale County, AL","49,226",-101,-2.1,7,0.1,95
"Dallas County, AL","39,215",-807,-20.4,-1,0,-60
"Dallas County, IA","87,235","1,907",22.2,295,3.4,838
"Dallas County, MO","16,673",286,17.3,-6,-0.4,13
"Dallas County, TX","2,618,148","-7,859",-3,"14,647",5.6,"24,010"
"Dane County, WI","536,416","1,343",2.5,"1,870",3.5,"2,947"
"Danville city, VA","41,130",-428,-10.3,44,1.1,-128
"Dare County, NC","36,099",355,9.9,11,0.3,-28
"Darke County, OH","51,536",-107,-2.1,7,0.1,2
"Darlington County, SC","67,265",-93,-1.4,13,0.2,-21
"Dauphin County, PA","275,710",-386,-1.4,"1,172",4.3,813
"Davidson County, NC","165,466",875,5.3,66,0.4,27
"Davidson County, TN","691,243","-6,371",-9.2,"3,974",5.8,"4,802"
"Davie County, NC","42,456",488,11.6,23,0.5,-27
"Daviess County, IN","33,113",-95,-2.9,8,0.2,205
"Daviess County, KY","100,374",77,0.8,118,1.2,340
"Davis County, UT","347,637","1,843",5.4,222,0.6,"4,258"
"Davison County, SD","19,704",-185,-9.4,-2,-0.1,60
"Dawson County, GA","24,379",684,28.5,11,0.5,69
"Dawson County, NE","23,709",-470,-19.8,138,5.8,218
"Dawson County, TX","12,813",-327,-25.3,35,2.7,64
"De Soto Parish, LA","27,340",62,2.3,3,0.1,67
"De Witt County, IL","15,942",-203,-12.6,2,0.1,-17
"Deaf Smith County, TX","18,836",-230,-12.2,37,2,178
"Dearborn County, IN","49,741",204,4.1,-14,-0.3,84
"Decatur County, GA","26,716",-41,-1.5,2,0.1,42
"Decatur County, IN","26,737",-24,-0.9,42,1.6,79
"Decatur County, TN","11,751",78,6.6,15,1.3,-53
"Defiance County, OH","38,156",-26,-0.7,37,1,27
"DeKalb County, AL","71,617",246,3.4,92,1.3,69
"DeKalb County, GA","753,253","-5,506",-7.3,"5,729",7.6,"6,384"
"DeKalb County, IL","104,733",-410,-3.9,223,2.1,471
"DeKalb County, IN","42,836",108,2.5,-6,-0.1,116
"DeKalb County, MO","12,588",71,5.7,-7,-0.6,20
"DeKalb County, TN","19,852",347,17.7,69,3.5,-7
"Del Norte County, CA","27,470",-18,-0.7,-2,-0.1,42
"Delaware County, IA","17,153",-156,-9.1,9,0.5,32
"Delaware County, IN","115,184",-480,-4.2,194,1.7,-13
"Delaware County, NY","45,001",-228,-5,28,0.6,-222
"Delaware County, OH","200,464","2,346",11.8,336,1.7,"1,013"
"Delaware County, OK","42,602",813,19.2,18,0.4,-110
"Delaware County, PA","564,696","-2,317",-4.1,"2,026",3.6,993
"Delta County, CO","30,568",290,9.5,4,0.1,-72
"Delta County, MI","35,965",-184,-5.1,0,0,-76
"Dent County, MO","15,480",68,4.4,9,0.6,-22
"Denton County, TX","836,210","18,633",22.7,"2,700",3.3,"6,478"
"Denver County, CO","704,621","2,490",3.6,"2,242",3.2,"5,073"
"Des Moines County, IA","39,417",-266,-6.7,35,0.9,20
"Deschutes County, OR","186,875","5,753",31.3,19,0.1,391
"Desha County, AR","11,764",-163,-13.8,22,1.9,-16
"DeSoto County, FL","36,862",753,20.7,120,3.3,62
"DeSoto County, MS","178,751","2,357",13.3,45,0.3,809
"DeWitt County, TX","20,226",-425,-20.8,0,0,33
"Dickenson County, VA","14,782",-218,-14.6,2,0.1,-44
"Dickinson County, IA","17,199",98,5.7,3,0.2,-4
"Dickinson County, KS","18,902",-108,-5.7,6,0.3,23
"Dickinson County, MI","25,415",-47,-1.8,-2,-0.1,-49
"Dickson County, TN","52,853",843,16.1,0,0,88
"Dillon County, SC","30,666",-245,-8,72,2.3,22
"Dimmit County, TX","10,418",-469,-44.2,34,3.2,69
"Dinwiddie County, VA","28,208",226,8,28,1,-70
"District of Columbia, DC","693,972","1,152",1.7,"4,160",6,"4,293"
"Dixie County, FL","16,673",234,14.1,0,0,-38
"Dodge County, GA","20,730",-73,-3.5,6,0.3,-40
"Dodge County, MN","20,762",70,3.4,16,0.8,130
"Dodge County, NE","36,707",5,0.1,39,1.1,98
"Dodge County, WI","87,786",420,4.8,31,0.4,-89
"Doña Ana County, NM","215,579",96,0.4,294,1.4,"1,324"
"Dooly County, GA","13,737",-151,-10.9,5,0.4,-3
"Door County, WI","27,483",260,9.5,1,0,-125
"Dorchester County, MD","32,162",-122,-3.8,45,1.4,-24
"Dorchester County, SC","156,456","2,159",13.9,142,0.9,682
"Dougherty County, GA","89,502","-1,288",-14.3,104,1.2,288
"Douglas County, CO","335,299","4,934",14.9,545,1.6,"2,082"
"Douglas County, GA","143,882",929,6.5,192,1.3,747
"Douglas County, IL","19,748",-146,-7.4,8,0.4,117
"Douglas County, KS","120,793",-58,-0.5,696,5.8,667
"Douglas County, MN","37,575",391,10.5,11,0.3,0
"Douglas County, MO","13,300",-32,-2.4,-4,-0.3,-15
"Douglas County, NE","561,620","-1,017",-1.8,"1,900",3.4,"4,869"
"Douglas County, NV","48,309",470,9.8,51,1.1,-159
"Douglas County, OR","109,405","1,582",14.5,16,0.1,-294
"Douglas County, WA","41,945",381,9.2,67,1.6,225
"Douglas County, WI","43,284",-130,-3,33,0.8,-10
"Drew County, AR","18,547",-132,-7.1,7,0.4,43
"Dubois County, IN","42,558",-135,-3.2,69,1.6,169
"Dubuque County, IA","97,041",-85,-0.9,71,0.7,354
"Duchesne County, UT","20,026",-585,-29,12,0.6,281
"Dukes County, MA","17,325",-11,-0.6,2,0.1,24
"Dunklin County, MO","30,119",-436,-14.4,23,0.8,-26
"Dunn County, WI","44,693",193,4.3,47,1.1,125
"DuPage County, IL","930,128","-8,353",-9,"3,070",3.3,"4,201"
"Duplin County, NC","59,039",-862,-14.5,170,2.9,170
"Durham County, NC","311,640",599,1.9,"1,700",5.5,"2,253"
"Dutchess County, NY","295,568",201,0.7,850,2.9,-35
"Duval County, FL","937,934","3,379",3.6,"3,435",3.7,"4,734"
"Duval County, TX","11,273",-212,-18.7,5,0.4,31
"Dyer County, TN","37,463",-165,-4.4,21,0.6,4
"Eagle County, CO","54,772",-190,-3.5,76,1.4,521
"Early County, GA","10,296",14,1.4,0,0,-15
"East Baton Rouge Parish, LA","446,268","-4,974",-11.1,"1,252",2.8,"2,243"
"East Feliciana Parish, LA","19,412",-67,-3.4,-2,-0.1,-40
"Eastland County, TX","18,411",125,6.8,23,1.3,-38
"Eaton County, MI","109,027",-83,-0.8,96,0.9,170
"Eau Claire County, WI","103,671",238,2.3,117,1.1,434
"Ector County, TX","157,087","-2,416",-15.4,338,2.1,"1,577"
"Eddy County, NM","56,997",-861,-15,57,1,342
"Edgar County, IL","17,328",-81,-4.7,-1,-0.1,-61
"Edgecombe County, NC","52,747",-494,-9.3,4,0.1,-57
"Edgefield County, SC","26,693",176,6.6,5,0.2,-69
"Edmonson County, KY","12,226",195,16.1,7,0.6,-44
"Effingham County, GA","59,982","1,061",17.9,20,0.3,346
"Effingham County, IL","34,132",-201,-5.9,23,0.7,128
"El Dorado County, CA","188,987","2,557",13.6,210,1.1,-48
"El Paso County, CO","699,232","6,624",9.6,811,1.2,"5,055"
"El Paso County, TX","840,410","-7,673",-9.1,"3,083",3.7,"7,840"
"Elbert County, CO","25,642",520,20.5,2,0.1,80
"Elbert County, GA","19,109",4,0.2,7,0.4,-44
"Elk County, PA","30,197",-147,-4.8,2,0.1,-80
"Elkhart County, IN","205,032",-831,-4.1,195,1,"1,524"
"Elko County, NV","52,649",-115,-2.2,22,0.4,460
"Ellis County, KS","28,689",-293,-10.2,52,1.8,106
"Ellis County, TX","173,620","4,093",23.9,158,0.9,982
"Elmore County, AL","81,677",319,3.9,36,0.4,86
"Elmore County, ID","26,823",372,14.1,96,3.6,263
"Emanuel County, GA","22,530",120,5.3,-4,-0.2,11
"Emery County, UT","10,077",-202,-19.9,0,0,55
"Emmet County, MI","33,193",276,8.3,12,0.4,-11
"Erath County, TX","41,969",365,8.8,32,0.8,127
"Erie County, NY","925,528","-1,769",-1.9,"3,769",4.1,442
"Erie County, OH","74,817",-16,-0.2,26,0.3,-132
"Erie County, PA","274,541","-2,990",-10.9,924,3.4,275
"Escambia County, AL","37,447",44,1.2,-1,0,-70
"Escambia County, FL","313,512",850,2.7,452,1.4,505
"Essex County, MA","785,205","-2,408",-3.1,"5,325",6.8,"1,670"
"Essex County, NJ","808,285","-6,179",-7.7,"6,658",8.3,"3,918"
"Essex County, NY","37,956",-32,-0.8,70,1.8,-93
"Essex County, VA","11,028",-81,-7.3,5,0.5,8
"Estill County, KY","14,277",-57,-4,0,0,-11
"Etowah County, AL","102,755",278,2.7,8,0.1,-252
"Evangeline Parish, LA","33,708",-196,-5.8,82,2.4,111
"Evans County, GA","10,775",74,6.9,-1,-0.1,34
"Fairbanks North Star Borough, AK","99,703","-2,242",-22.4,132,1.3,"1,206"
"Fairfax city, VA","24,097",-402,-16.8,263,11,408
"Fairfax County, VA","1,148,433","-15,348",-13.4,"10,795",9.4,"8,278"
"Fairfield County, CT","949,921","-8,690",-9.2,"6,218",6.5,"3,147"
"Fairfield County, OH","154,733","1,491",9.7,195,1.3,378
"Fairfield County, SC","22,607",45,2,18,0.8,-85
"Falls Church city, VA","14,583",492,34.6,83,5.8,138
"Falls County, TX","17,437",18,1,21,1.2,68
"Fannin County, GA","25,322",457,18.2,-10,-0.4,-118
"Fannin County, TX","34,446",647,18.9,21,0.6,-77
"Faribault County, MN","13,784",-58,-4.2,0,0,-13
"Faulkner County, AR","123,654",800,6.5,106,0.9,663
"Fauquier County, VA","69,465",486,7,40,0.6,160
"Fayette County, AL","16,468",-5,-0.3,0,0,-65
"Fayette County, GA","112,549","1,060",9.5,226,2,31
"Fayette County, IA","19,796",-201,-10.1,25,1.3,-14
"Fayette County, IL","21,784",-63,-2.9,0,0,31
"Fayette County, IN","23,209",-8,-0.3,6,0.3,-45
"Fayette County, KY","321,959",-427,-1.3,"1,558",4.9,"1,791"
"Fayette County, OH","28,752",45,1.6,17,0.6,28
"Fayette County, PA","131,504",-516,-3.9,80,0.6,-447
"Fayette County, TN","40,036",445,11.2,25,0.6,-12
"Fayette County, TX","25,272",196,7.8,31,1.2,-26
"Fayette County, WV","43,521",-387,-8.8,11,0.3,-206
"Fentress County, TN","18,136",244,13.5,0,0,-62
"Fergus County, MT","11,291",-1,-0.1,1,0.1,-8
"Fillmore County, MN","20,980",2,0.1,25,1.2,34
"Finney County, KS","37,084",-610,-16.5,218,5.9,477
"Flagler County, FL","110,510","2,919",26.7,233,2.1,-459
"Flathead County, MT","100,000","1,994",20.2,-29,-0.3,333
"Fleming County, KY","14,446",-68,-4.7,0,0,9
"Florence County, SC","138,566",-79,-0.6,79,0.6,124
"Floyd County, GA","97,613",702,7.2,153,1.6,138
"Floyd County, IA","15,744",-100,-6.3,-3,-0.2,12
"Floyd County, IN","77,071",156,2,33,0.4,162
"Floyd County, KY","36,271",-607,-16.6,12,0.3,-107
"Floyd County, VA","15,755",124,7.9,-1,-0.1,-26
"Fluvanna County, VA","26,452",245,9.3,1,0,36
"Fond du Lac County, WI","102,548",-5,0,189,1.8,159
"Ford County, IL","13,280",0,0,-1,-0.1,-60
"Ford County, KS","34,381",-854,-24.8,334,9.7,396
"Forrest County, MS","75,471",-553,-7.3,105,1.4,282
"Forsyth County, GA","227,967","6,350",28.3,395,1.8,"1,139"
"Forsyth County, NC","376,320","2,928",7.8,605,1.6,"1,169"
"Fort Bend County, TX","764,828","10,995",14.6,"5,168",6.9,"6,717"
"Fountain County, IN","16,505",9,0.5,2,0.1,18
"Franklin County, AL","31,495",-191,-6.1,54,1.7,56
"Franklin County, AR","17,890",208,11.7,7,0.4,5
"Franklin County, FL","11,727",-61,-5.2,7,0.6,-16
"Franklin County, GA","22,820",489,21.7,30,1.3,-7
"Franklin County, IA","10,164",-56,-5.5,14,1.4,7
"Franklin County, ID","13,564",97,7.2,-5,-0.4,128
"Franklin County, IL","39,041",-24,-0.6,21,0.5,-43
"Franklin County, IN","22,619",-126,-5.6,6,0.3,14
"Franklin County, KS","25,733",105,4.1,15,0.6,68
"Franklin County, KY","50,485",127,2.5,48,1,72
"Franklin County, MA","70,702",-12,-0.2,194,2.7,-93
"Franklin County, ME","29,988",-25,-0.8,15,0.5,-72
"Franklin County, MO","103,330",357,3.5,16,0.2,209
"Franklin County, NC","66,168","1,328",20.3,57,0.9,121
"Franklin County, NY","51,116",-42,-0.8,36,0.7,-16
"Franklin County, OH","1,291,981","5,861",4.6,"6,584",5.1,"9,497"
"Franklin County, PA","154,234",222,1.4,234,1.5,223
"Franklin County, TN","41,652",105,2.5,55,1.3,-74
"Franklin County, TX","10,767",121,11.3,0,0,-13
"Franklin County, VA","56,445",414,7.4,-6,-0.1,-120
"Franklin County, VT","49,025",-180,-3.7,48,1,184
"Franklin County, WA","92,125",362,4,218,2.4,"1,226"
"Franklin Parish, LA","20,260",-133,-6.5,-3,-0.1,32
"Frederick County, MD","252,022","2,241",9,788,3.2,"1,118"
"Frederick County, VA","86,484","1,389",16.2,89,1,324
"Fredericksburg city, VA","28,360",-158,-5.6,86,3,163
"Freeborn County, MN","30,535",146,4.8,19,0.6,-31
"Freestone County, TX","19,625",-46,-2.3,13,0.7,11
"Fremont County, CO","47,559",811,17.2,-5,-0.1,-156
"Fremont County, ID","13,094",124,9.5,4,0.3,79
"Fremont County, WY","39,803",-515,-12.9,2,0,70
"Fresno County, CA","989,255",-441,-0.4,"2,083",2.1,"8,108"
"Frio County, TX","19,600",-103,-5.3,208,10.7,110
"Fulton County, AR","12,055",96,8,-3,-0.2,-77
"Fulton County, GA","1,041,423","6,760",6.5,"4,427",4.3,"5,926"
"Fulton County, IL","35,110",-281,-8,13,0.4,-138
"Fulton County, IN","20,059",-124,-6.2,-3,-0.1,48
"Fulton County, NY","53,877",218,4.1,31,0.6,-62
"Fulton County, OH","42,289",-127,-3,21,0.5,71
"Fulton County, PA","14,590",-18,-1.2,6,0.4,-16
"Gadsden County, FL","46,071",-230,-5,85,1.8,64
"Gage County, NE","21,601",38,1.8,-2,-0.1,-42
"Gaines County, TX","20,638",-318,-15.5,142,6.9,333
"Gallatin County, MT","107,810","2,956",27.9,76,0.7,680
"Gallia County, OH","29,973",-37,-1.2,9,0.3,6
"Galveston County, TX","335,036","3,617",10.9,698,2.1,"1,412"
"Garfield County, CO","59,118",-312,-5.3,42,0.7,483
"Garfield County, OK","61,581","-1,218",-19.7,109,1.8,304
"Garland County, AR","98,658",601,6.1,1,0,-173
"Garrard County, KY","17,523",79,4.5,0,0,46
"Garrett County, MD","29,233",-72,-2.5,4,0.1,-41
"Garvin County, OK","27,909",-117,-4.2,46,1.6,40
"Gasconade County, MO","14,726",11,0.7,0,0,-35
"Gaston County, NC","220,182","2,781",12.7,221,1,270
"Gates County, NC","11,544",-42,-3.6,9,0.8,-15
"Geary County, KS","33,855","-2,188",-63.4,16,0.5,814
"Geauga County, OH","93,918",-55,-0.6,45,0.5,85
"Gem County, ID","17,379",362,21.1,11,0.6,26
"Genesee County, MI","407,385","-1,624",-4,176,0.4,231
"Genesee County, NY","57,956",-186,-3.2,46,0.8,-65
"Geneva County, AL","26,421",-9,-0.3,-4,-0.2,-80
"George County, MS","24,094",170,7.1,72,3,139
"Georgetown County, SC","61,607",506,8.2,-2,0,-270
"Gibson County, IN","33,576",-3,-0.1,3,0.1,-1
"Gibson County, TN","49,111",80,1.6,0,0,-68
"Gila County, AZ","53,501",424,7.9,24,0.4,-242
"Gilchrist County, FL","17,743",498,28.5,5,0.3,27
"Giles County, TN","29,401",237,8.1,35,1.2,-9
"Giles County, VA","16,837",-42,-2.5,8,0.5,-15
"Gillespie County, TX","26,646",373,14.1,74,2.8,-104
"Gilmer County, GA","30,674",559,18.4,79,2.6,0
"Glacier County, MT","13,640",-109,-8,4,0.3,75
"Glades County, FL","13,754",305,22.4,34,2.5,-48
"Gladwin County, MI","25,234",190,7.5,0,0,-97
"Glenn County, CA","28,094",-23,-0.8,5,0.2,148
"Gloucester County, NJ","292,206",-164,-0.6,419,1.4,259
"Gloucester County, VA","37,292",263,7.1,7,0.2,-78
"Glynn County, GA","85,282",509,6,186,2.2,60
"Gogebic County, MI","15,342",71,4.6,7,0.5,-84
"Gonzales County, TX","20,893",-107,-5.1,18,0.9,120
"Goochland County, VA","22,685",243,10.8,-3,-0.1,-29
"Goodhue County, MN","46,304",2,0,18,0.4,46
"Gooding County, ID","15,124",-56,-3.7,-1,-0.1,87
"Gordon County, GA","57,089",-154,-2.7,59,1,197
"Goshen County, WY","13,378",7,0.5,24,1.8,-7
"Grady County, GA","24,819",-182,-7.3,36,1.4,72
"Grady County, OK","54,943",79,1.4,57,1,83
"Grafton County, NH","89,386",-70,-0.8,197,2.2,-47
"Graham County, AZ","37,466",-640,-17,47,1.2,289
"Grainger County, TN","23,144",86,3.7,1,0,-52
"Grand County, CO","15,321",109,7.2,-1,-0.1,81
"Grand Forks County, ND","70,795",-552,-7.8,204,2.9,548
"Grand Traverse County, MI","91,807",-223,-2.4,24,0.3,92
"Grant County, AR","18,165",56,3.1,1,0.1,15
"Grant County, IN","66,491",-265,-4,16,0.2,-60
"Grant County, KY","24,984",-45,-1.8,-2,-0.1,124
"Grant County, NM","27,687",-308,-11.1,4,0.1,-40
"Grant County, WA","95,158",267,2.8,192,2,801
"Grant County, WI","51,999",-126,-2.4,34,0.7,99
"Grant County, WV","11,670",27,2.3,-2,-0.2,2
"Grant Parish, LA","22,336",-34,-1.5,8,0.4,65
"Granville County, NC","59,557",707,11.9,-7,-0.1,31
"Gratiot County, MI","41,018",116,2.8,16,0.4,-46
"Graves County, KY","37,121",-134,-3.6,32,0.9,76
"Gray County, TX","22,404",-419,-18.6,18,0.8,65
"Grays Harbor County, WA","72,697","1,078",14.9,42,0.6,-53
"Grayson County, KY","26,358",170,6.5,5,0.2,44
"Grayson County, TX","131,140","2,501",19.3,171,1.3,257
"Grayson County, VA","15,665",-149,-9.5,0,0,-55
"Green County, KY","11,065",83,7.5,6,0.5,-24
"Green County, WI","36,851",-29,-0.8,45,1.2,26
"Green Lake County, WI","18,760",163,8.7,2,0.1,-25
"Greenbrier County, WV","35,287",-182,-5.1,96,2.7,-120
"Greene County, AR","45,053",211,4.7,12,0.3,115
"Greene County, GA","17,281",349,20.4,41,2.4,-49
"Greene County, IL","13,174",94,7.2,0,0,-37
"Greene County, IN","32,177",27,0.8,5,0.2,-77
"Greene County, MO","289,805",827,2.9,342,1.2,761
"Greene County, MS","13,345",-118,-8.8,0,0,-19
"Greene County, NC","21,015",-138,-6.5,17,0.8,-6
"Greene County, NY","47,470",25,0.5,78,1.6,-147
"Greene County, OH","166,752",763,4.6,473,2.9,414
"Greene County, PA","36,770",-345,-9.3,3,0.1,-46
"Greene County, TN","68,808",480,7,20,0.3,-247
"Greene County, VA","19,612",179,9.2,54,2.8,49
"Greensville County, VA","11,679",99,8.5,6,0.5,24
"Greenup County, KY","35,518",-162,-4.5,-8,-0.2,-108
"Greenville County, SC","506,837","4,483",8.9,"1,152",2.3,"2,160"
"Greenwood County, SC","70,355",45,0.6,116,1.7,26
"Gregg County, TX","123,367",-982,-8,251,2,504
"Grenada County, MS","21,087",-145,-6.9,-3,-0.1,17
"Grimes County, TX","28,082",383,13.8,34,1.2,91
"Grundy County, IA","12,333",46,3.7,1,0.1,-11
"Grundy County, IL","50,586",115,2.3,-1,0,205
"Grundy County, TN","13,361",121,9.1,0,0,-39
"Guadalupe County, TX","159,659","4,113",26.2,134,0.9,804
"Guernsey County, OH","39,093",-126,-3.2,8,0.2,11
"Guilford County, NC","526,953","1,540",2.9,"1,736",3.3,"1,706"
"Gulf County, FL","16,160",103,6.4,10,0.6,-53
"Gunnison County, CO","16,939",354,21.2,-3,-0.2,91
"Guthrie County, IA","10,670",19,1.8,5,0.5,-3
"Gwinnett County, GA","920,260","2,095",2.3,"3,881",4.2,"7,225"
"Habersham County, GA","44,567",306,6.9,31,0.7,53
"Hale County, AL","14,812",-24,-1.6,-1,-0.1,-8
"Hale County, TX","34,134",-285,-8.3,49,1.4,162
"Halifax County, NC","51,310",-463,-9,32,0.6,-130
"Halifax County, VA","34,563",-298,-8.6,-5,-0.1,-98
"Hall County, GA","199,335","1,682",8.5,247,1.2,"1,161"
"Hall County, NE","61,519",-802,-13,366,5.9,424
"Hamblen County, TN","64,277",385,6,135,2.1,44
"Hamilton County, FL","14,184",-204,-14.3,12,0.8,52
"Hamilton County, IA","15,115",-35,-2.3,29,1.9,22
"Hamilton County, IN","323,747","4,493",14,792,2.5,"2,157"
"Hamilton County, OH","813,822","-1,533",-1.9,"2,288",2.8,"3,019"
"Hamilton County, TN","361,613","2,246",6.2,517,1.4,782
"Hampden County, MA","469,818","-2,952",-6.3,"3,101",6.6,659
"Hampshire County, MA","161,834",-456,-2.8,847,5.2,-215
"Hampshire County, WV","23,471",155,6.6,-7,-0.3,-19
"Hampton city, VA","134,669","-1,258",-9.3,261,1.9,337
"Hampton County, SC","19,602",-247,-12.5,5,0.3,-31
"Hancock County, IA","10,771",-118,-10.9,3,0.3,-8
"Hancock County, IL","18,020",-204,-11.3,6,0.3,-2
"Hancock County, IN","74,985",972,13.1,-7,-0.1,241
"Hancock County, ME","54,497",196,3.6,72,1.3,-166
"Hancock County, MS","47,053",416,8.9,0,0,-11
"Hancock County, OH","75,754",-157,-2.1,127,1.7,196
"Hancock County, WV","29,448",-27,-0.9,15,0.5,-159
"Hanover County, VA","105,923","1,332",12.7,83,0.8,167
"Haralson County, GA","29,256",443,15.3,-7,-0.2,-13
"Hardee County, FL","27,411",-226,-8.3,75,2.7,188
"Hardeman County, TN","25,447",26,1,-1,0,-53
"Hardin County, IA","17,048",-141,-8.2,19,1.1,-24
"Hardin County, KY","108,071",551,5.1,132,1.2,499
"Hardin County, OH","31,364",-94,-3,19,0.6,32
"Hardin County, TN","25,846",109,4.2,18,0.7,-40
"Hardin County, TX","57,139",753,13.3,8,0.1,119
"Hardy County, WV","13,717",-26,-1.9,37,2.7,-24
"Harford County, MD","252,160",885,3.5,271,1.1,583
